Title,(1980s),(1990s),(2000s),(2010s),(2020s),Pop,Rock,Counrty,Folk,Dance,Grunge,Love,Metal,Classic,Funk,Electric,Acoustic,Indie,Jazz,SoundTrack,Rap
The Scientist,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stairway to Heaven,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shape of You,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Fix You,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wish You Were Here,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Smells Like Teen Spirit,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hello,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Can't Feel My Face,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comfortably Numb,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hymn for the Weekend,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paradise,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventure Of A Lifetime,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viva la Vida,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheap Thrills,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
In the End,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sweet Child o' Mine,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Californication,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Radioactive,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Numb,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do I Wanna Know?,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creep,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotline Bling,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lean On (feat. MØ & DJ Snake),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Intro,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hotel California,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A Sky Full of Stars,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nothing Else Matters,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Clocks,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seven Nation Army,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sultans of Swing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Come as You Are,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Counting Stars,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rolling in the Deep,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohemian Rhapsody,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Let Her Go,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Back in Black,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Thinking Out Loud,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sugar,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Karma Police,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
